name,kind,city,region,country,date_granted,grant,date_opened,address,lat,lon,image_file,wikipedia_url,notes,section,source_page
Toronto Public Library — Riverdale Branch,public,Toronto,Ontario,Canada,"January 23, 1903","25,000","October 19, 1910",370 Broadview Ave.,43.665901,-79.352794,,,,Alphabetical listing,List of Carnegie libraries in Canada
Toronto Public Library — Wychwood Branch,public,Toronto,Ontario,Canada,"August 8, 1908","20,000","October 31, 1916",1431 Bathurst St.,43.682011,-79.417821,,,by architect Eden Smith [20],Alphabetical listing,List of Carnegie libraries in Canada
Toronto Public Library — Yorkville Branch,public,Toronto,Ontario,Canada,"January 23, 1903","25,000","June 13, 1907",22 Yorkville Ave.,43.671810,-79.388624,,,,Alphabetical listing,List of Carnegie libraries in Canada
Toronto Junction Public Library,public,Toronto Junction,Ontario,Canada,"April 6, 1908","20,000","September 1, 1909",145 Annette St.,43.663589,-79.466221,,,by architect James Augustus Ellis [91] Renamed Annette St. Branch in 1962.,Alphabetical listing,List of Carnegie libraries in Canada
Vancouver Public Library,public,Vancouver,British Columbia,Canada,"March 25, 1901","50,000","October 1, 1903",401 Main St.,49.2812,-123.1,,https://en.wikipedia.org/wiki/Vancouver_Public_Library,"by architect George William Grant [92] Closed in 1957. Since 1980, it has been the Carnegie Community Centre, but there is still a branch library operating on the first floor.",Alphabetical listing,List of Carnegie libraries in Canada
Victoria Public Library,public,Victoria,British Columbia,Canada,,,1905,794 Yates St.,48.425999,-123.362201,,,by architects Thomas Hooper [93] and C. Elwood Watkins. Sold in 1980s to Westcoast Savings Credit Union and currently used as office space rented to commercial and institutional tenants. [94],Alphabetical listing,List of Carnegie libraries in Canada
Walkerton Public Library,public,Walkerton,Ontario,Canada,"March 29, 1911","10,000",,253 Durham St. E,44.133347,-81.149205,,,by architect George Gray [44],Alphabetical listing,List of Carnegie libraries in Canada
Wallaceburg Public Library,public,Wallaceburg,Ontario,Canada,"March 24, 1906","11,500","December 12, 1907",,,,,,by architect Arthur M Piper [32],Alphabetical listing,List of Carnegie libraries in Canada
Waterloo Public Library,public,Waterloo,Ontario,Canada,"July 18, 1902","10,000","November 1, 1905",40 Albert St.,43.466830,-80.524598,,https://en.wikipedia.org/wiki/Waterloo_Public_Library,by architect Charles John Moogk [95] Now the headquarters of Habitat for Humanity Canada.,Alphabetical listing,List of Carnegie libraries in Canada
Watford Public Library,public,Watford,Ontario,Canada,"May 17, 1912","6,000",,5317 Nauvoo Rd.,42.949930,-81.879985,,,by architect William Austin Mahoney [6],Alphabetical listing,List of Carnegie libraries in Canada
Welland Public Library,public,Welland,Ontario,Canada,"December 8, 1913","25,000",1923,140 King St.,42.989391,-79.251041,,,by architect Norman A. Kearns Now the Welland Museum.,Alphabetical listing,List of Carnegie libraries in Canada
Weston Public Library,public,"Weston, Toronto",Ontario,Canada,"January 2, 1913","10,000","December 29, 1914",2 King St.,43.701479,-79.520574,,,by architects Lindsay & Brydon [20] Now part of Toronto Public Library system.,Alphabetical listing,List of Carnegie libraries in Canada
Whitby Public Library,public,Whitby,Ontario,Canada,"April 8, 1911","10,000",1914,132 Dundas St. W,43.879570,-78.943344,,https://en.wikipedia.org/wiki/Whitby_Public_Library,"by architect William Austin Mahoney [6] Closed in 1973, this building is now used as a law office.",Alphabetical listing,List of Carnegie libraries in Canada
Winnipeg Public Library — William Avenue,public,Winnipeg,Manitoba,Canada,1904,"75,000","October 11, 1905",380 William Ave.,49.900702,-97.144695,,https://en.wikipedia.org/wiki/Winnipeg_Public_Library,"Designed by architect Samuel Hooper (1851-1911), it was built by the construction firm of Smith and Sharp. [96] Closed in 1994 and now home to the City of Winnipeg Archives.",Alphabetical listing,List of Carnegie libraries in Canada
Winnipeg Public Library — Cornish Branch,public,Winnipeg,Manitoba,Canada,1914,"30,000",,20 West Gate,49.878094,-97.159007,,,"Designed by architect Samuel Frank Peters (1847-1926), it was built by the National Construction Company. [97] The grant was jointly awarded for this branch and the Winnipeg — St. John's Branch.",Alphabetical listing,List of Carnegie libraries in Canada
Winnipeg Public Library — St. John's Branch,public,Winnipeg,Manitoba,Canada,1914,"28,800",,500 Salter St.,49.925302,-97.132972,,,"Designed by architect John Nelson Semmens (1879-1960), it was built by construction firm of Fraser and MacDonald. [98] The grant was jointly awarded for this branch and the Winnipeg — Cornish Branch.",Alphabetical listing,List of Carnegie libraries in Canada
Windsor Public Library,public,Windsor,Ontario,Canada,"February 13, 1901","27,000","October 16, 1903",Park St. and Victoria St.,42.31592,-83.04035,,https://en.wikipedia.org/wiki/Windsor_Public_Library,by architects John Scott & Co. First Carnegie library granted in Canada.,Alphabetical listing,List of Carnegie libraries in Canada
Woodstock Public Library,public,Woodstock,Ontario,Canada,"July 6, 1905","24,000",1909,449 Hunter St.,43.131102,-80.762525,,,by architect William Craven Vaux Chadwick [99],Alphabetical listing,List of Carnegie libraries in Canada
Alamosa,public,Alamosa,Colorado,United States,"Mar 21, 1908","$6,000",,,,,,,"Dedicated February 24, 1910, closed in 1961, demolished December 1962",Public libraries,List of Carnegie libraries in Colorado
Boulder,public,Boulder,Colorado,United States,"Feb 20, 1904","$15,000",,1125 Pine St.,,,Carnegie_Library_Boulder_CO.jpg,"https://en.wikipedia.org/wiki/Carnegie_Library_(Boulder,_Colorado)",Completed in 1906,Public libraries,List of Carnegie libraries in Colorado
Brush,public,Brush,Colorado,United States,"Jun 11, 1914","$6,000",,500 Clayton St.,,,"Brush,_Colorado_Carnegie_Library.JPG",,Completed in 1915,Public libraries,List of Carnegie libraries in Colorado
Cañon City,public,Cañon City,Colorado,United States,"Dec 14, 1901","$13,000",,516 Macon Ave.,,,Canon_City_Colorado_Old_Carnegie_Library.jpg,,Built in 1902,Public libraries,List of Carnegie libraries in Colorado
Old Colorado City Branch,public,Old Colorado City,Colorado,United States,Jan 1903,"$10,000",,2418 W. Pikes Peak Ave.,,,Old_Colorado_City_Carnegie_Library.jpg,https://en.wikipedia.org/wiki/Old_Colorado_City_Branch_Carnegie_Library,Completed in 1904,Public libraries,List of Carnegie libraries in Colorado
Colorado Springs,public,Colorado Springs,Colorado,United States,"Jan 2, 1903","$60,000",,21 W. Kiowa St.,,,Colorado_Springs_Public_Library-Carnegie_Building.JPG,https://en.wikipedia.org/wiki/Colorado_Springs_Public_Library-Carnegie_Building,Completed in 1905,Public libraries,List of Carnegie libraries in Colorado
Delta,public,Delta,Colorado,United States,"Feb 20, 1911","$6,500",,211 W. 6th St.,,,Delta_Carnegie_Library.JPG,,Completed in 1912,Public libraries,List of Carnegie libraries in Colorado
Denver Main Branch,public,Denver,Colorado,United States,"Mar 14, 1902","$360,000 [c]",,144 W. Colfax Ave.,,,McNichols_Civic_Center_Building.JPG,,"Dedicated February 1910, now the McNichols Civic Center",Public libraries,List of Carnegie libraries in Colorado
Denver Warren Branch,public,Denver,Colorado,United States,"Mar 14, 1902",,,3354 High St.,,,Warren_Branch_Library.JPG,,"Completed in 1913, now used for residential lofts",Public libraries,List of Carnegie libraries in Colorado
Denver Woodbury Branch,public,Denver,Colorado,United States,"Mar 14, 1902",,,3265 Federal Blvd.,,,"Woodbury_Branch_Library_(Denver,_Colorado).JPG",,Built in 1912,Public libraries,List of Carnegie libraries in Colorado
Denver Dickinson Branch,public,Denver,Colorado,United States,"Mar 14, 1902",,,1545 Hooker St.,,,Dickinson_Branch_Library.JPG,,"Completed in 1914, closed in 1954, now houses an architecture firm",Public libraries,List of Carnegie libraries in Colorado
Denver Decker Branch,public,Denver,Colorado,United States,"Mar 14, 1902",,,1501 S. Logan St.,,,"Decker_Branch_Library_(Denver,_Colorado).JPG",,Completed in 1913,Public libraries,List of Carnegie libraries in Colorado
"Denver John ""Thunderbird Man"" Emhoolah Jr. Branch",public,Denver,Colorado,United States,"Mar 14, 1902",,,675 Santa Fe Dr.,,,"Byers_Branch_Library_(Denver,_Colorado).JPG",,Completed in 1918,Public libraries,List of Carnegie libraries in Colorado
Denver Smiley Branch,public,Denver,Colorado,United States,"Mar 14, 1902",,,4501 W. 46th Ave.,,,"Smiley_Branch_Library_(Denver,_Colorado).JPG",,Completed in 1918,Public libraries,List of Carnegie libraries in Colorado
Denver Park Hill Branch,public,Denver,Colorado,United States,"Mar 14, 1902",,,4705 Montview Blvd.,,,Park_Hill_Branch_Library.JPG,,Built 1920 in Spanish Renaissance style,Public libraries,List of Carnegie libraries in Colorado
Denver Elyria Branch,public,Denver,Colorado,United States,"Mar 14, 1902",,,1901 E. 47th Ave.,,,Elyria_Branch_Library.JPG,,"Opened in 1923, closed in 1952, now a private residence",Public libraries,List of Carnegie libraries in Colorado
Durango,public,Durango,Colorado,United States,"Jan 16, 1906","$15,000",,1188 E. 2nd Ave.,,,City_of_Durango_Carnegie_Building.JPG,,"Completed in 1906, now houses city offices",Public libraries,List of Carnegie libraries in Colorado
Florence,public,Florence,Colorado,United States,"Feb 3, 1917","$10,000",,100 W. 2nd St.,,,"Florence,_Colorado_Carnegie_library.JPG",,Completed in 1919,Public libraries,List of Carnegie libraries in Colorado
Fort Collins,public,Fort Collins,Colorado,United States,"Jan 22, 1903","$12,500",,200 Mathews St.,,,Museum-front2.jpg,https://en.wikipedia.org/wiki/Fort_Collins_Museum_and_Discovery_Science_Center,"Completed in 1904, closed in 1976. Now houses a museum",Public libraries,List of Carnegie libraries in Colorado
Fort Morgan,public,Fort Morgan,Colorado,United States,"Nov 17, 1914","$10,000",,414 Main St.,,,,,"Completed in 1916, original building surrounded by a later addition",Public libraries,List of Carnegie libraries in Colorado
Grand Junction,public,Grand Junction,Colorado,United States,"Dec 21, 1899","$8,000",,7th St. and Grand Ave.,,,,,Completed in 1901; demolished,Public libraries,List of Carnegie libraries in Colorado
Idaho Springs,public,Idaho Springs,Colorado,United States,"Jun 1, 1903","$10,443",,219 14th Ave.,,,Carnegie_Library_(Idaho_Sps)_2016-07-12_1134.jpg,,Completed in 1904,Public libraries,List of Carnegie libraries in Colorado
Lamar,public,Lamar,Colorado,United States,"Feb 6, 1907","$12,000",,,,,,,"Completed in 1908, demolished in 1975",Public libraries,List of Carnegie libraries in Colorado
Leadville,public,Leadville,Colorado,United States,"Jun 21, 1901","$20,000",,102 E. 9th St.,,,Leadville_Heritage_Museum.jpeg,,"Completed in 1904, became the Leadville Heritage Museum in 1971",Public libraries,List of Carnegie libraries in Colorado
Littleton,public,Littleton,Colorado,United States,"Jan 6, 1915","$8,000",,2707 W. Main St.,,,Carnegie_Library_2015-06_812.jpg,,"Completed in 1917, now a restaurant",Public libraries,List of Carnegie libraries in Colorado
Longmont,public,Longmont,Colorado,United States,"Dec 13, 1907","$12,500",,457 Fourth Ave.,,,Longmont_Carnegie_Library.jpg,,"Completed in 1913, now houses city offices",Public libraries,List of Carnegie libraries in Colorado
Loveland,public,Loveland,Colorado,United States,"May 2, 1907","$10,000",,205 E. 6th St.,,,,,"Completed in 1908, demolished in 1964",Public libraries,List of Carnegie libraries in Colorado
Manitou,public,Manitou Springs,Colorado,United States,"Dec 13, 1909","$6,500",,701 Manitou Ave.,,,Manitou_Springs_Library.JPG,,Completed in 1911. Library services moved to another building in 2021 [1] while the Carnegie building is being updated.,Public libraries,List of Carnegie libraries in Colorado
Monte Vista,public,Monte Vista,Colorado,United States,"May 15, 1916","$10,000",,120 Jefferson St.,,,"Carnegie_Library_(Monte_Vista,_Colorado).JPG","https://en.wikipedia.org/wiki/Carnegie_Library_(Monte_Vista,_Colorado)",Opened June 1919,Public libraries,List of Carnegie libraries in Colorado
Pueblo,public,Pueblo,Colorado,United States,"Feb 4, 1902","$70,000",,100 E. Abriendo Ave.,,,,,"Completed in 1904, demolished c. 1965",Public libraries,List of Carnegie libraries in Colorado
Rocky Ford,public,Rocky Ford,Colorado,United States,"Dec 24, 1907","$10,000",,1005 Sycamore Ave.,,,"Rocky_Ford,_Colorado_Carnegie_library_from_N_1.JPG",,"Completed in 1909, now a museum",Public libraries,List of Carnegie libraries in Colorado
Salida,public,Salida,Colorado,United States,"Dec 23, 1905","$9,000",,405 E St.,,,NW_Corner_of_Library.jpg,,Completed in 1909,Public libraries,List of Carnegie libraries in Colorado
Silverton,public,Silverton,Colorado,United States,"Jan 19, 1905","$12,000",,1111 Reese St.,,,Silverton_(Colorado)_Public_Library.JPG,,Completed in 1906,Public libraries,List of Carnegie libraries in Colorado
Sterling,public,Sterling,Colorado,United States,"Dec 3, 1915","$12,500",,210 S. 4th St.,,,Sterling_Public_Library_(old).JPG,,"Completed in 1918, now a private residence.",Public libraries,List of Carnegie libraries in Colorado
Trinidad,public,Trinidad,Colorado,United States,"Mar 20, 1903","$15,000",,202 N. Animas St.,,,"Trinidad,_CO,_Public_Library_IMG_5020.JPG",,Completed in 1904,Public libraries,List of Carnegie libraries in Colorado
Bridgeport East Branch,public,Bridgeport,Connecticut,United States,"Apr 13, 1914","$50,000",,201 Jane St.,41.19033,-73.18236,,,"Designed by architect Edward Lippincott Tilton of New York City. [4] This neoclassical building opened July 26, 1918, and was closed in the 1980s. It was recently a church.",Carnegie libraries,List of Carnegie libraries in Connecticut
Bridgeport North Branch,public,Bridgeport,Connecticut,United States,"Apr 13, 1914","($50,000)",,3455 Madison Ave.,41.19345,-73.19791,,,"Designed by architect Edward Lippincott Tilton of New York City. [4] This Neo-Renaissance building opened July 25, 1918, and served as a library until 1995. It is currently for sale.",Carnegie libraries,List of Carnegie libraries in Connecticut
Derby Neck,public,Derby,Connecticut,United States,"Mar 12, 1906","$3,400",,307 Hawthorne Ave.,41.33147,-73.10092,,,"Designed by architect Henry Killam Murphy of New York City. Major expansions in 1972 and 2002 allowed this neoclassical design to be greatly enlarged. It opened January 5, 1907. [5]",Carnegie libraries,List of Carnegie libraries in Connecticut
Enfield,public,Enfield,Connecticut,United States,"Nov 9, 1910","$20,000",,159 Pearl St.,41.99490,-72.59019,"Pearl_Street_Branch_Library,_Thompsonville_CT.jpg",,"Designed by architects McLean & Wright of Boston. [6] Opened May 5, 1914, this building remains a branch of the larger Enfield central library.",Carnegie libraries,List of Carnegie libraries in Connecticut
New Haven Fair Haven Branch,public,New Haven,Connecticut,United States,"Mar 14, 1913","$60,000",,182 Grand Ave.,41.30957,-72.89431,,,"Designed by architect Leoni W. Robinson of New Haven. [7] Opened in 1916, this building underwent a major renovation in 1993.",Carnegie libraries,List of Carnegie libraries in Connecticut
New Haven Davenport Branch,public,New Haven,Connecticut,United States,"Mar 14, 1913","($60,000)",,265 Portsea St.,41.29736,-72.93497,,,Designed by architect Charles Scranton Palmer of New Haven. [8] This building was used as a library from 1922 until 1978 but is now a radio station.,Carnegie libraries,List of Carnegie libraries in Connecticut
New Haven Dixwell Branch,public,New Haven,Connecticut,United States,"Mar 14, 1913","($60,000)",,555 Dixwell Ave.,41.32944,-72.93504,,,Designed by architects Norton & Townsend of New Haven. This building was used as a library from 1921 to 1968. It is now a church of the United Holy Church of America.,Carnegie libraries,List of Carnegie libraries in Connecticut
Norwalk,public,Norwalk,Connecticut,United States,"Aug 16, 1901","$20,000",,1 Belden Ave.,41.12100,-73.41528,,,"Designed by architects W. & G. Audsley of New York City, this Elizabethan building was opened in 1903 and expanded greatly in 1982.",Carnegie libraries,List of Carnegie libraries in Connecticut
South Norwalk,public,South Norwalk,Connecticut,United States,"Apr 23, 1908","$20,000",,10 Washington St.,41.09962,-73.42114,,,"Designed by architects McLean & Wright of Boston. [9] Granted when South Norwalk was still independent of Norwalk, this building had additions built in 1950 and 2005.",Carnegie libraries,List of Carnegie libraries in Connecticut
Unionville,public,Unionville,Connecticut,United States,"Sep 25, 1914","$8,500",,15 School St.,41.75888,-72.88856,"West_End_Library,_Farmington,_Connecticut.jpg",https://en.wikipedia.org/wiki/West_End_Library,"Designed by architect Edward Lippincott Tilton of New York City. This building was a library from 1917 to around 1970, after which it became the Unionville Museum. [10]",Carnegie libraries,List of Carnegie libraries in Connecticut
West Haven,public,West Haven,Connecticut,United States,"Aug 6, 1906","$10,000",,300 Elm St.,41.27616,-72.95218,,,"Designed by architects McLean & Wright of Boston. [11] After opening September 1, 1909, it has remained in continuous use as a library since, expanding in 1960 and 2002. [12]",Carnegie libraries,List of Carnegie libraries in Connecticut
Anglesea Street,public,,Cork,Ireland,,,,Anglesea Street,,,"The_Carnegie_Free_Library,_Cork_(27602890902).jpg",,foundation stone laid 1903; destroyed in the Burning of Cork [6],Ireland,List of Carnegie libraries in Europe
Ashe Street. Youghal,public,,Cork,Ireland,,,,Ashe Street. Youghal,,,,,Also used as a Quaker meeting house [7],Ireland,List of Carnegie libraries in Europe
Millstreet,public,,Cork,Ireland,,,,Millstreet,,,,,,Ireland,List of Carnegie libraries in Europe
Balbriggan,public,,Dublin,Ireland,,,,Balbriggan,,,County_Dublin_-_Balbriggan_Carnegie_Free_Library_-_20200907181504.jpg,,Built c1905 [8],Ireland,List of Carnegie libraries in Europe
Ballsbridge,public,,Dublin,Ireland,,,,Ballsbridge,,,,,(1929) [9],Ireland,List of Carnegie libraries in Europe
"Blackrock, Dublin",public,,Dublin,Ireland,,,,"Blackrock, Dublin",,,"Blackrock_Town_Hall,_Dublin.JPG",,[10],Ireland,List of Carnegie libraries in Europe
Cabinteely,public,,Dublin,Ireland,,,,Cabinteely,,,,,[11] [12],Ireland,List of Carnegie libraries in Europe
Clondalkin,public,,Dublin,Ireland,,,,Clondalkin,,,,,[13],Ireland,List of Carnegie libraries in Europe
Dalkey,public,,Dublin,Ireland,,,,Dalkey,,,,,[14],Ireland,List of Carnegie libraries in Europe
"Charleville Mall, North Strand",public,,Dublin,Ireland,,,,"Charleville Mall, North Strand",,,County_Dublin_-_Charleville_Mall_Library_-_20200907143550.jpg,,[15],Ireland,List of Carnegie libraries in Europe
"Dundrum, Dublin",public,,Dublin,Ireland,,,,"Dundrum, Dublin",,,,,still in use as a library [16] [17],Ireland,List of Carnegie libraries in Europe
Dún Laoghaire,public,,Dublin,Ireland,,,,Dún Laoghaire,,,,,[18] [19],Ireland,List of Carnegie libraries in Europe
Garristown,public,,Dublin,Ireland,,,,Garristown,,,County_Dublin_-_Garristown_Carnegie_Free_Library_-_20210930131506.jpg,,1912 [20],Ireland,List of Carnegie libraries in Europe
Glencullen,public,,Dublin,Ireland,,,,Glencullen,,,,,1907 [21],Ireland,List of Carnegie libraries in Europe
Kish Bank lighthouse,public,,Dublin,Ireland,,,,Kish Bank lighthouse,,,Carnegie_Library_Lighthouse_Service.JPG,,[22],Ireland,List of Carnegie libraries in Europe
"Lusk, County Dublin",public,,Dublin,Ireland,,,,"Lusk, County Dublin",,,County_Dublin_-_Lusk_Community_Hall_-_20190518165304.jpg,,(1908) [23],Ireland,List of Carnegie libraries in Europe
Malahide,public,,Dublin,Ireland,,,,Malahide,,,MalahideLibrary.jpg,,,Ireland,List of Carnegie libraries in Europe
"Pearse Street, Dublin City Public Libraries and Archive",public,,Dublin,Ireland,,,,"Pearse Street, Dublin City Public Libraries and Archive",,,Dublin_City_Library_&_Archive.jpg,,,Ireland,List of Carnegie libraries in Europe
Rathmines,public,,Dublin,Ireland,,,,Rathmines,,,,,(1913) [24],Ireland,List of Carnegie libraries in Europe
Sandyford,public,,Dublin,Ireland,,,,Sandyford,,,Sandyford_Community_Centre_-_geograph.org.uk_-_541143.jpg,,[25],Ireland,List of Carnegie libraries in Europe
Shankill,public,,Dublin,Ireland,,,,Shankill,,,,,"(1912, R.M Butler) [26]",Ireland,List of Carnegie libraries in Europe
"Skerries, County Dublin",public,,Dublin,Ireland,,,,"Skerries, County Dublin",,,County_Dublin_-_Skerries_Carnegie_Free_Library_-_20190615205222.jpg,,"Strand street. 1911, still in use as a library [27] [28]",Ireland,List of Carnegie libraries in Europe
"Swords, County Dublin",public,,Dublin,Ireland,,,,"Swords, County Dublin",,,County_Dublin_-_Swords_Carnegie_Free_Library_-_20180908220620.jpg,,,Ireland,List of Carnegie libraries in Europe
"Whitechurch, Dublin",public,,Dublin,Ireland,,,,"Whitechurch, Dublin",,,County_Dublin_-_Whitechurch_Branch_Library_-_20171011214552.jpg,,(1911) [29] [30],Ireland,List of Carnegie libraries in Europe
Caherciveen,public,,Kerry,Ireland,,,,Caherciveen,,,,,[31],Ireland,List of Carnegie libraries in Europe
Castleisland,public,,Kerry,Ireland,,,,Castleisland,,,,,[32],Ireland,List of Carnegie libraries in Europe
Dingle,public,,Kerry,Ireland,,,,Dingle,,,"Dingle,_Ireland_Carnegie_Library_-_July_2023.jpg",,[33] [34],Ireland,List of Carnegie libraries in Europe
Kenmare,public,,Kerry,Ireland,,,,Kenmare,,,Carnegie_Library_-_geograph.org.uk_-_1415293.jpg,,[35],Ireland,List of Carnegie libraries in Europe
Killorglin,public,,Kerry,Ireland,,,,Killorglin,,,,,1909 [36],Ireland,List of Carnegie libraries in Europe
Listowel,public,,Kerry,Ireland,,,,Listowel,,,,,[37] [38],Ireland,List of Carnegie libraries in Europe
Tralee,public,,Kerry,Ireland,,,,Tralee,,,,,,Ireland,List of Carnegie libraries in Europe
"Kilkenny city, John's Quay",public,,Kilkenny,Ireland,,,,"Kilkenny city, John's Quay",,,Carnegie_Library_-_geograph.org.uk_-_3145738.jpg,,"1910, still in use as a library [39]",Ireland,List of Carnegie libraries in Europe
Athea,public,,Limerick,Ireland,,,,Athea,,,,,1917 [40],Ireland,List of Carnegie libraries in Europe
Askeaton,public,,Limerick,Ireland,,,,Askeaton,,,,,[41],Ireland,List of Carnegie libraries in Europe
Ballyhahill,public,,Limerick,Ireland,,,,Ballyhahill,,,,,[42],Ireland,List of Carnegie libraries in Europe
Ballysteen,public,,Limerick,Ireland,,,,Ballysteen,,,,,[43],Ireland,List of Carnegie libraries in Europe
"Broadford, County Limerick",public,,Limerick,Ireland,,,,"Broadford, County Limerick",,,,,[44],Ireland,List of Carnegie libraries in Europe
Clouncagh,public,,Limerick,Ireland,,,,Clouncagh,,,,,1917 [45],Ireland,List of Carnegie libraries in Europe
Croagh,public,,Limerick,Ireland,,,,Croagh,,,,,[46],Ireland,List of Carnegie libraries in Europe
"Feenagh, County Limerick",public,,Limerick,Ireland,,,,"Feenagh, County Limerick",,,,,[47],Ireland,List of Carnegie libraries in Europe
Kilcolman,public,,Limerick,Ireland,,,,Kilcolman,,,,,[48],Ireland,List of Carnegie libraries in Europe
Kildimo,public,,Limerick,Ireland,,,,Kildimo,,,,,[49],Ireland,List of Carnegie libraries in Europe
"Pery Square, Limerick City",public,,Limerick,Ireland,,,,"Pery Square, Limerick City",,,Limerick_City_Gallery_of_Art_(14456343392).jpg,,"1906, Limerick City Gallery of Art [50]",Ireland,List of Carnegie libraries in Europe
Newcastle West,public,,Limerick,Ireland,,,,Newcastle West,,,,,[51] [52],Ireland,List of Carnegie libraries in Europe
Pallaskenry,public,,Limerick,Ireland,,,,Pallaskenry,,,,,[53],Ireland,List of Carnegie libraries in Europe
Rathkeale,public,,Limerick,Ireland,,,,Rathkeale,,,,,[43],Ireland,List of Carnegie libraries in Europe
"Shanagolden, County Limerick",public,,Limerick,Ireland,,,,"Shanagolden, County Limerick",,,,,[54],Ireland,List of Carnegie libraries in Europe
Drogheda,public,,Louth,Ireland,,,,Drogheda,,,,,[55],Ireland,List of Carnegie libraries in Europe
"Ballyduff, County Waterford",public,,Waterford,Ireland,,,,"Ballyduff, County Waterford",,,,,[56],Ireland,List of Carnegie libraries in Europe
Cappoquin,public,,Waterford,Ireland,,,,Cappoquin,,,,,[57],Ireland,List of Carnegie libraries in Europe
"Lismore, County Waterford",public,,Waterford,Ireland,,,,"Lismore, County Waterford",,,,,1910 [58],Ireland,List of Carnegie libraries in Europe
"Tallow, County Waterford",public,,Waterford,Ireland,,,,"Tallow, County Waterford",,,,,[59],Ireland,List of Carnegie libraries in Europe
Waterford City Library,public,,Waterford,Ireland,,,,Waterford City Library,,,Foundation_stone_of_Waterford_Free_Library.jpg,,foundation stone laid 1903 – first Carnegie library in Ireland and still in use [60],Ireland,List of Carnegie libraries in Europe
"Bray, County Wicklow",public,,Wicklow,Ireland,,,,"Bray, County Wicklow",,,,,[61],Ireland,List of Carnegie libraries in Europe
Enniskerry,public,,Wicklow,Ireland,,,,Enniskerry,,,,,[62],Ireland,List of Carnegie libraries in Europe
Greystones,public,,Wicklow,Ireland,,,,Greystones,,,,,[63] [64],Ireland,List of Carnegie libraries in Europe
Brentford Library,public,London,England,United Kingdom,,,1903,,,,,https://en.wikipedia.org/wiki/Brentford_Library,"brick and terracotta construction, designed by Nowell Parr, Grade II listed",England,List of Carnegie libraries in Europe
Bromley,public,London,England,United Kingdom,,,1908,,,,,,"designed by Evelyn Hellicar (1862–1929), now demolished",England,List of Carnegie libraries in Europe
Crofton Park,public,London,England,United Kingdom,,,1905,,,,,,brick and stone (community run by Eco Communities and Lewisham Borough),England,List of Carnegie libraries in Europe
Cubitt Town,public,London,England,United Kingdom,,,1905,,,,,,brick and stone (Tower Hamlets Council),England,List of Carnegie libraries in Europe
Custom House,public,London,England,United Kingdom,,,1905,,,,,,brick and stone. Still in use as a public library,England,List of Carnegie libraries in Europe
Deptford,public,London,England,United Kingdom,,,1914,,,,,,"brick and stone (closed 1991, now Lewisham Arthouse artists' studios, public gallery and workshop)",England,List of Carnegie libraries in Europe
Enfield,public,London,England,United Kingdom,,,1912,,,,,,heavily extended to the rear in 2010,England,List of Carnegie libraries in Europe
Enfield Highway,public,London,England,United Kingdom,,,1910,,,,,,Extended in 1938,England,List of Carnegie libraries in Europe
Erith,public,London,England,United Kingdom,,,1906,,,,,,"Grade II listed in 1996. Partly occupied, following relocation of the library in 2009",England,List of Carnegie libraries in Europe
Hanwell,public,London,England,United Kingdom,,,1905,,,,,,/06 (run by London Borough of Ealing),England,List of Carnegie libraries in Europe
Herne Hill,public,London,England,United Kingdom,,,1906,,,,,,"Grade II listed (closed by London Borough of Lambeth 31 March 2016 due to budget cuts, reopened 2018)",England,List of Carnegie libraries in Europe
Homerton,public,London,England,United Kingdom,,,1913,,,,,,Grade II listed (Chats Palace Arts Centre since 1976),England,List of Carnegie libraries in Europe
Islington,public,London,England,United Kingdom,,,,,,,,,Grade II listed,England,List of Carnegie libraries in Europe
"King's College, London",academic,London,England,United Kingdom,,,,,,,,,The Carnegie Collection of British Music on loan to The Maughan Library,England,List of Carnegie libraries in Europe
Kingston upon Thames,public,London,England,United Kingdom,,,1903,,,,,,Carnegie also funded the separate building for the Kingston Museum 1904,England,List of Carnegie libraries in Europe
"Lea Bridge Road, Leyton",public,London,England,United Kingdom,,,,,,,,,,England,List of Carnegie libraries in Europe
Manor Park,public,London,England,United Kingdom,,,1905,,,,,,brick and stone (library relocated 2012–2013),England,List of Carnegie libraries in Europe
New Cross,public,London,England,United Kingdom,,,1911,,,,,,"brick and stone, designed by Gerald Warren & Stanley E Castle (now Music Room studios)",England,List of Carnegie libraries in Europe
Southall,public,London,England,United Kingdom,,,1905,,,,,,closed down in 2014 and relocated services to Dominion Centre in The Green. Library building is now being used to house the Southall Christian Fellowship,England,List of Carnegie libraries in Europe
Sydenham,public,London,England,United Kingdom,,,,,,,,,(run by London Borough of Lewisham),England,List of Carnegie libraries in Europe
Teddington,public,London,England,United Kingdom,,,1906,,,,,,brick and stone construction,England,List of Carnegie libraries in Europe
Thornton Heath,public,London,England,United Kingdom,,,,,,,,,,England,List of Carnegie libraries in Europe
Twickenham,public,London,England,United Kingdom,,,1906,,,,,,/7,England,List of Carnegie libraries in Europe
Walthamstow,public,London,England,United Kingdom,,,1907,,,,,,09,England,List of Carnegie libraries in Europe
West Greenwich,public,London,England,United Kingdom,,,1907,,,,,,,England,List of Carnegie libraries in Europe
Aston Cross,public,Birmingham,England,United Kingdom,,,1903,,,,,,,England,List of Carnegie libraries in Europe
Bartley Green,public,Birmingham,England,United Kingdom,,,1905,,,,,,,England,List of Carnegie libraries in Europe
