name,kind,city,region,country,date_granted,grant,date_opened,address,lat,lon,image_file,wikipedia_url,notes,section,source_page
Tuskegee University,academic,Tuskegee,Alabama,United States,"Dec 20, 1900","$20,000",,,,,Carnegie_Library_Tuskegee_University.jpg,https://en.wikipedia.org/wiki/Tuskegee_University,"Open 1901–1932, now houses offices",Academic libraries,List of Carnegie libraries in Alabama
Phoenix,public,Phoenix,Arizona,United States,"Apr 26, 1902","$25,000",,1101 W Washington St.,33.4476722,-112.0869972,P-Phoenix_Carnegie_Library_and_Library_Park-1907.jpg,https://en.wikipedia.org/wiki/Phoenix_Carnegie_Library_and_Library_Park,"Closed after serving as the Phoenix Public Library from 1908 to 1953. Now the Carnegie Center, a multi-service center which includes the Arizona State Library. [1]",Carnegie libraries,List of Carnegie libraries in Arizona
Prescott,public,Prescott,Arizona,United States,"Jul 4, 1899","$4,000",,125 E Gurley St.,34.5416722,-112.4675889,OldPublicLibraryPrescott422.jpg,"https://en.wikipedia.org/wiki/Carnegie_Library_(Prescott,_Arizona)","Open from November 24, 1903, until 1975. The building is now home to several private businesses. [2]",Carnegie libraries,List of Carnegie libraries in Arizona
Tucson,public,Tucson,Arizona,United States,"Oct 27, 1899","$25,000",,200 S 6th Ave.,32.2191917,-110.9691556,Pcplold.jpg,,"Served as the Tucson Public Library from 1901 to 1991. In 1991, it became the Tucson Children's Museum. [3]",Carnegie libraries,List of Carnegie libraries in Arizona
Yuma,public,Yuma,Arizona,United States,"Sep 14, 1917","$10,000",,350 S 3rd Ave.,32.7206139,-114.6240639,,,"Opened February 24, 1921. Although heavily renovated in the 1950s and again in 2008, the original Carnegie library still stands as a branch library for the Yuma County Library District. [4]",Carnegie libraries,List of Carnegie libraries in Arizona
Eureka Springs,public,Eureka Springs,Arkansas,United States,"Apr 23, 1906","$15,500",,194 Spring St.,36.4075806,-93.7366333,Carnegie_Public_Library_in_Eureka_Springs_AR.jpg,,"Construction began in 1910 after the building site was donated by R.C. Kerens, prominent investor in the nearby Crescent Hotel. The design for the building was prepared by St. Louis architect George W. Hellmuth. The building was completed in 1912, and was originally open only three afternoons a week as the library depended on memberships and contributions for income. By 1920 the library was open six days a week, and a year later the building was supplied with electrical lighting. This library continues to serve the community.",Carnegie libraries,List of Carnegie libraries in Arkansas
Fort Smith,public,Fort Smith,Arkansas,United States,"Mar 24, 1906","$25,000",,318 N. 13th St.,35.385611,-94.4158111,,,"After opening on January 30, 1908, this building housed the Fort Smith Public Library until November 1970, when the library moved to a new building on South 8th Street. KFSM-TV then adapted the building as a television studio until 2019, when the station moved to a purpose-built facility in Johnson. The building was purchased at auction by University of Arkansas–Fort Smith professor and preservationist Diana Sims in 2024 for $149,000 to restore it to its library-era state. [2] [3] [4] [5]",Carnegie libraries,List of Carnegie libraries in Arkansas
Little Rock,public,Little Rock,Arkansas,United States,"Mar 24, 1906","$88,100",,W. 7th St. and S. Louisiana St.,34.7422083,-92.2730639,"Little_Rock,_Arkansas_Carnegie_library.jpg",,"Opening on February 1, 1910, this building was razed in 1964.",Carnegie libraries,List of Carnegie libraries in Arkansas
Morrilton,public,Morrilton,Arkansas,United States,"Sep 20, 1915","$10,000",,101 W. Church St.,35.1511306,-92.7454556,Morrilton_Library.JPG,https://en.wikipedia.org/wiki/Conway_County_Library,"Opened in October 1916, this library continues to serve the community as the Conway County Library. [6]",Carnegie libraries,List of Carnegie libraries in Arkansas
Alameda,public,Alameda,California,United States,"Oct 3, 1899","$35,000",,"2264 Santa Clara Ave, Alameda, CA 94105",37.76583,-122.24361,"Alameda_Free_Library_(Alameda,_CA).JPG",https://en.wikipedia.org/wiki/Alameda_Free_Library,"Opened in 1903, this Wilcox and Curtis Neoclassical building served as a public library until 1998. It has been vacant since.",Public libraries,List of Carnegie libraries in California
